text,rating
"If I could give a zero rating I would. 

We were looking forward to celebrating Father's Day with a group of 8 on their patio. Upon walking in, we were met...",1
"So disappointed with this place. The servers were awful, so was the food. we ended up leaving and walking down the street to the Kerryman. Highly suggest...",1
"I would give Old Irving Brewing company zero stars if possible


Second time there and the second time left wanting


Last night got off a blue line train...",1
I go to school nearby and wanted to try a solid noodle spot. This was a below average experience. My boyfriend and I both ordered Taro smoothies with boba...,2
"Super cute bakery in a charming neighborhood.

I was craving a quiche so naturally I had to check it out. The interior decor was adorable and they had a...",2
On the menu the have two different chicken sandwiches. One grilled one fried. I asked the if instead of the grilled patty/breast could I pay/sub out the...,1
"Very disappointing. I take some of the blame for placing an order without looking to closely, but bad food is bad food. 

Wanted bbq ribs, and in my haste...",2
"Visited today for a second time, Sunday the 20th @12:15pm was my reservation. I arrived at 12:10pm, the hostess at the stand told us they weren't sitting...",1
"This place was terrible...worst sushi I've ever had! They called this Spicy Tuna, but I couldn't find any fish in it, only what tasted like a Siracha-Tomato...",1
"New ownership is poor, service was subpar. Miss Judy and her wonderful team! The service team was no where to be seen. 
The food is great but service is...",1
This place was a massive disappointment. I came here for my anniversary and the food was honestly just gross. We got the lobster ravioli and a red sauce...,1
"Been coming here for years and have been recommending the place as well to my Air bnb guests. So, three of us and my kid were in there this week and the...",2
"The food here is great. I love Chef Stephen. 

Unfortunately, the service is horrendous. We were at a table in the sun and it was too hot to touch our...",1
"We came on a Friday early dinner. We didn't have a reservation, but we were seated right away at a table. We kept waiting for someone to bring water and...",2
The food is pretty good. Just ridiculously overpriced. 10 dollars for the chilaquiles? That's corn tortillas and hot sauce. No eggs. Just tortillas and...,2
"This restaurant clearly prioritizes aesthetics over food. Really not worth for the price point. 

We got four different dishes. The lasagna was decent, but...",2
"I really wanted and hoped for better, but they fell way short here tonight.  The service was so-so with our server having a hard time remembering what we...",2
"I am truly disappointed. 

Our male server's efficiency, engagement, rude and sassy attitude on July 3, 2022, was mind blowing. I've provided the date and...",1
So I don't have anything to say about the restaurant. This is about the valet service that the restaurant has chosen to service the restaurant....,1
This is our go to place. My boyfriend really likes their ribs. Ordered dinner thru Grubhub and what a letdown. Not only did they forget an item. Which was...,2
A manager called me we would have a correct amount refunded and other manager would reach out to me but neither happened as if it was no big deal to them....,1
"Honestly-THIS IS THE WORST SUSHI I HAVE EVER HAD!

It might be wrapped and ""look"" nice-but the seafood appears to be -well-not fresh.

The worst part is the...",1
"The salad and the garlic cheese bread was OK. But, the pizza was awful. The dough was fermented too long. The crust was too hard to cut with the knife, and...",2
"Visited for the $55 restaurant week menu which includes your choice for four plates. The food was above average--flavorful and fresh, but the portion sizes...",2
We definitely have high standards for steak tacos and we've got couple great taco places that we consider to be our go to spots for steak tacos. I wanted to...,2
"Daughter used to live down the street years ago, so we used to come here sometimes. Decided to try it again after years had passed. Not too good. Took a...",2
"I admit I am not a sushi aficionado, but I AM a snob when it comes to basic California rolls. Crab salad only! No crab stick for me! So when I saw ""fresh...",2
Been coming here for many years. The food was great but my main reason for coming was for the guava and cheese pastelillos. I would order several dozen at a...,1
"Terrible service! I drove 20 min for a phone order, my order was incorrect! I spoke to one person who somehow misunderstood me and said I placed my order...",1
"Apparently reservations are just a suggestion at this place. Showed up a few minutes before our reservation to be told they had no table for us, and there...",2
Let me start off by saying this is a cute place. Looks clean and homey. Really wanted to love the place. It was pretty busy for a Monday night and seemed...,2
"Came here for a late night bite, but wasn't wild about it. The pizza was not great and the crust didn't taste anything like I'd expect pizza crust to. It...",2
"I was so disappointed with Bar Roma Hostes, my wife best friend from High School was visiting and on Saturday night we decided at the last minute to take...",2
"I have eaten at the River North Gyu-Kaku restaurant and really enjoyed it.  This experience was nothing like it, and extremely horrible. We had a...",1
Absolutely terrible service and the saltiest corn beef sandwich you will ever have!! But the bread was good,1
"Literally the worst place i've ever been to, from the second i step into the door this whole place just emits white privellage & racism.",1
"Ill just let the picture speak for itself.  

Double patty with $2 extra for 5 year aged cheddar (let me know if you can see it cause I couldn't)",1
Poor service and drinks are essentially lipstick on a pig. Staff has poor attitude and prefers to socialize with each other rather than serve customers....,1
"This is not the high French cuisine that pre covid reviews are talking about. 
The chef left and the restaurant increased prices but lowered the quality of...",1
Called on the phone ahead of getting there and was told 15-20min so we came. Arrived at the restaurant at 6:02pm and put our name in and it said 5 parties...,2
"Man, the Weiner Circle really went down hill.  Growing up in Chicago, this was one of the best hot dog stands in the city.  Now, its just all about the...",2
"Let me start by saying, I have been here a hand full of times and the food is always delicious, some times service is hit or miss, but the food is the draw....",2
My husband and I were so excited to try the place due to its great reviews and beautiful location. We made a reservation for 6:30 on a Saturday and were...,2
Utterly disappointing. Location of restaurant right across the street from the Nederlander Threater to see opening night of Moulin Rouge was great. Both...,1
"Innocently walked in and was followed by the door person (a Hispanic woman) back to the bathroom, as I had never been to the bar. Then happened to step...",1
"Went for drinks and dinner last night and ran into a couple of bumps along the ride.

The ambiance and vibe of the place was great but the faults laid in...",2
Very very bad experience.. we order a small size deep dish pizza and it took more then 45mins to get our order. And when we ask what going with our order...,1
"The reason I order from here was to get DJolof rice. iI request a side order of Djolof and for good measure I order Salmon&  Gemjembe.

They literally sent...",1
"First time (likely last time) visit and was sorely disappointed.

For starters the italian beef sandwich was underwhelming, lacked any basic condiments, and...",2
"El taco azteca's staff seems to NOT care about their local customers at all, ignoring order details including food sensitivity/dietary needs/allergies that...",1
I know a lot of people like this place and I am hoping it was an off night.   Was here Two months a go and was excited to be there because came to a number...,1
"Wanted to pick up some sandwiches and big fan of Italian meats
Was very excited to try seeing reviews went in knowing owner is a little grouchy from reviews...",1
"rude owner ...
alwyas late ..
sandwich poor quality...

better choices around...",1
"After being told ""Maybe I am having a bad night"" by a supervisor when waited 15 mins without anyone saying anything to me or given my change after...",2
"Came back to Chicago after a trip to NYC and was unfortunately disappointed by the pizza representation. I ordered the ""Lou"" with a few extra toppings. I am...",2
"Oh man...I hate to give San Soo Gab San such a low rating, but I was SO excited to come here and the food was pretty disappointing in my opinion.

We...",2
"I was really excited to try this restaurant near my friend's neighborhood. We thought it looked a bit pricey, but the reviews seemed great overall.

The...",2
This restaurant has passed its prime.  It is totally dead inside.  Upstairs is shuttered.  Valet parking has been disbanded.  Our favorite waiter has moved...,1
"Placed an online pick-up order this past Monday night. My entree was missing a main ingredient, my side dish had an extra amount of an ingredient I...",2
"First of all
The drinks have like no alcohol. They were being stingy. Then our waiter started flirting with some guy and never came back! I wanted to have a...",2
"I used to work here and the owner is absolutely horrible. First of all, he doesn't pay employees on time, which is one of the main reasons I left. 

Beyond...",1
"In ""hidden gem"" territory for West Loop based on the menu but needs a lot of work. Waiter seemed relatively untrained and skirting the fence between very...",2
"Was craving Italian and needed to find a spot that was in between the north & south so West Loop it was. Free parking in the front.
We had a reservation and...",2
Whoever the bouncer was tonight (4/5/22) wrecked our evening. Lots of attitude and very aggressive. Tried to have a chill night here and he blew it for our...,1
This was my number one but last month I bought fish tacos and there was a small bone (it was not supposed to have bones) it fracture my molar. The owner...,1
"I was supposed to vote 3 star for the low rated food. But the bad customer service encouraged me to give 1 star. 
The salmon was extreme overcooked, it was...",1
